Current_Capacity,Rated_Capacity,Current_Voltage,Min_Voltage,Max_Voltage,Charge_Energy,Discharge_Energy,Voltage_Drop,Current,Initial_Voltage,Final_Voltage,Time_Days,SoH,SoC,CE,IR,SDR,BHI
22.28,22.5,184.52,180,240,222.28,107.16,0.06,53.68,233.73,231.75,22,99.02,7.53,48.21,0.0011,0.04,50.75
19.08,22.5,214.2,180,240,138.87,116.21,0.2,22.61,235.18,230.79,17,84.8,57.0,83.68,0.0088,0.11,62.04
20.8,22.5,188.2,180,240,383.56,247.81,0.07,47.78,232.56,229.5,28,92.44,13.67,64.61,0.0015,0.05,52.63
17.0,22.5,210.09,180,240,419.32,300.55,0.14,81.62,238.9,237.2,28,75.56,50.15,71.68,0.0017,0.03,54.59
17.76,22.5,206.31,180,240,368.81,174.77,0.04,98.37,238.39,234.09,17,78.93,43.85,47.39,0.0004,0.11,49.81
11.67,22.5,229.36,180,240,244.08,100.85,0.11,79.3,232.16,229.04,4,51.87,82.27,41.32,0.0014,0.34,45.43
20.72,22.5,191.66,180,240,264.54,209.09,0.04,21.95,239.7,236.12,19,92.09,19.43,79.04,0.0018,0.08,56.52
20.2,22.5,196.25,180,240,275.59,95.35,0.01,96.64,238.36,234.88,21,89.78,27.08,34.6,0.0001,0.07,48.24
11.9,22.5,234.91,180,240,276.94,127.22,0.03,26.46,239.35,236.16,29,52.89,91.52,45.94,0.0011,0.05,48.64
19.55,22.5,213.26,180,240,344.69,191.06,0.06,42.04,237.58,237.5,14,86.89,55.43,55.43,0.0014,0.0,56.93
12.28,22.5,185.65,180,240,224.57,221.61,0.04,11.54,237.63,233.59,4,54.58,9.42,98.68,0.0035,0.43,43.41
13.2,22.5,206.03,180,240,259.4,190.48,0.13,14.08,233.75,230.62,26,58.67,43.38,73.43,0.0092,0.05,46.82
16.89,22.5,212.36,180,240,373.59,260.81,0.19,94.98,238.67,235.48,20,75.07,53.93,69.81,0.002,0.07,54.77
17.72,22.5,203.29,180,240,357.32,207.08,0.11,94.73,233.86,229.05,10,78.76,38.82,57.95,0.0012,0.21,50.84
13.58,22.5,196.44,180,240,185.84,119.93,0.02,65.64,233.37,230.09,29,60.36,27.4,64.53,0.0003,0.05,42.52
20.75,22.5,181.4,180,240,425.79,177.46,0.03,72.71,236.29,231.9,4,92.22,2.33,41.68,0.0004,0.46,45.64
15.95,22.5,238.05,180,240,319.19,181.29,0.12,61.83,237.32,236.67,17,70.89,96.75,56.8,0.0019,0.02,59.06
19.98,22.5,200.45,180,240,472.3,416.76,0.09,77.58,237.55,237.03,17,88.8,34.08,88.24,0.0012,0.01,59.98
17.26,22.5,209.79,180,240,255.85,132.34,0.03,14.81,239.59,235.35,9,76.71,49.65,51.73,0.002,0.2,50.94
14.84,22.5,237.0,180,240,480.24,309.51,0.13,50.36,232.93,231.28,27,65.96,95.0,64.45,0.0026,0.03,58.27
13.64,22.5,236.77,180,240,412.52,117.73,0.19,97.68,239.96,239.67,3,60.62,94.62,28.54,0.0019,0.04,48.88
21.24,22.5,201.05,180,240,146.83,89.56,0.15,65.64,231.01,230.58,13,94.4,35.08,61.0,0.0023,0.01,56.97
13.75,22.5,203.8,180,240,456.76,135.23,0.11,30.99,235.81,231.49,22,61.11,39.67,29.61,0.0035,0.08,38.29
20.39,22.5,236.83,180,240,494.4,392.2,0.08,17.52,237.77,234.97,27,90.62,94.72,79.33,0.0046,0.04,71.05
14.05,22.5,199.82,180,240,273.78,129.16,0.09,61.43,237.41,233.57,9,62.44,33.03,47.18,0.0015,0.18,41.0
19.62,22.5,220.86,180,240,195.0,126.03,0.1,17.46,235.28,233.09,26,87.2,68.1,64.63,0.0057,0.04,61.42
11.39,22.5,238.19,180,240,117.26,113.2,0.11,99.37,230.74,227.97,20,50.62,96.98,96.54,0.0011,0.06,58.95
12.1,22.5,189.97,180,240,186.72,111.43,0.2,72.72,233.84,230.15,11,53.78,16.62,59.68,0.0028,0.14,36.76
14.41,22.5,237.02,180,240,456.11,251.38,0.13,34.96,231.88,229.56,26,64.04,95.03,55.11,0.0037,0.04,55.64
13.83,22.5,195.96,180,240,244.14,122.67,0.1,12.91,232.8,230.74,13,61.47,26.6,50.25,0.0077,0.07,39.95
18.95,22.5,189.76,180,240,464.37,396.16,0.19,75.31,236.13,234.03,24,84.22,16.27,85.31,0.0025,0.04,54.0
21.11,22.5,213.1,180,240,165.93,115.34,0.16,53.23,239.85,237.96,26,93.82,55.17,69.51,0.003,0.03,62.46
15.54,22.5,238.19,180,240,436.85,379.16,0.1,47.33,232.73,232.44,6,69.07,96.98,86.79,0.0021,0.02,64.38
19.03,22.5,212.06,180,240,399.96,372.18,0.12,75.35,237.57,235.67,21,84.58,53.43,93.05,0.0016,0.04,63.12
16.32,22.5,187.75,180,240,481.62,323.45,0.05,70.45,236.18,234.38,8,72.53,12.92,67.16,0.0007,0.1,45.02
11.5,22.5,209.89,180,240,290.48,254.99,0.07,83.47,239.68,239.23,27,51.11,49.82,87.78,0.0008,0.01,47.96
15.79,22.5,188.04,180,240,111.51,103.79,0.13,73.37,232.13,231.44,28,70.18,13.4,93.08,0.0018,0.01,49.37
22.28,22.5,216.49,180,240,354.66,232.39,0.03,75.38,235.47,233.21,15,99.02,60.82,65.52,0.0004,0.06,64.87
15.71,22.5,217.33,180,240,444.95,426.53,0.04,93.39,234.92,233.62,24,69.82,62.22,95.86,0.0004,0.02,59.54
11.77,22.5,217.25,180,240,238.97,113.25,0.12,40.74,235.37,233.06,16,52.31,62.08,47.39,0.0029,0.06,42.81
12.96,22.5,188.33,180,240,356.35,130.26,0.08,90.71,234.74,231.4,18,57.6,13.88,36.55,0.0009,0.08,33.12
18.02,22.5,193.43,180,240,428.72,200.34,0.08,12.86,235.49,232.81,12,80.09,22.38,46.73,0.0062,0.09,45.85
13.57,22.5,201.86,180,240,301.37,232.83,0.02,81.95,236.28,235.86,11,60.31,36.43,77.26,0.0002,0.02,46.86
21.61,22.5,183.66,180,240,210.75,185.41,0.15,26.61,232.09,230.23,22,96.04,6.1,87.98,0.0056,0.04,57.23
13.91,22.5,225.6,180,240,312.51,247.53,0.02,23.3,231.33,227.89,23,61.82,76.0,79.21,0.0009,0.06,55.76
17.01,22.5,211.93,180,240,142.87,108.13,0.11,31.82,232.69,230.8,10,75.6,53.22,75.68,0.0035,0.08,56.01
17.59,22.5,230.44,180,240,135.68,109.81,0.05,40.86,234.74,232.96,9,78.18,84.07,80.93,0.0012,0.08,64.26
16.86,22.5,185.22,180,240,314.84,217.81,0.15,48.85,231.28,229.85,6,74.93,8.7,69.18,0.0031,0.1,45.54
21.37,22.5,216.45,180,240,197.74,138.66,0.07,94.03,230.08,228.95,6,94.98,60.75,70.12,0.0007,0.08,64.16
14.02,22.5,189.64,180,240,174.63,106.98,0.04,90.71,230.8,228.17,8,62.31,16.07,61.26,0.0004,0.14,40.38
19.09,22.5,239.84,180,240,458.64,298.1,0.18,10.48,239.75,237.29,6,84.84,99.73,65.0,0.0172,0.17,66.86
18.77,22.5,235.76,180,240,322.71,218.74,0.06,79.25,231.87,230.24,19,83.42,92.93,67.78,0.0008,0.04,65.51
13.49,22.5,224.17,180,240,311.94,244.03,0.16,17.86,235.06,230.4,13,59.96,73.62,78.23,0.009,0.15,54.34
17.24,22.5,183.11,180,240,234.64,100.79,0.02,99.1,233.22,229.17,1,76.62,5.18,42.96,0.0002,1.74,40.1
12.81,22.5,180.16,180,240,146.68,111.55,0.13,81.49,231.07,226.81,28,56.93,0.27,76.05,0.0016,0.07,38.03
22.11,22.5,187.46,180,240,392.35,373.09,0.04,15.98,237.41,234.53,29,98.27,12.43,95.09,0.0025,0.04,60.81
12.82,22.5,227.72,180,240,180.65,96.47,0.04,83.31,236.65,234.03,4,56.98,79.53,53.4,0.0005,0.28,49.35
14.81,22.5,215.3,180,240,373.19,212.51,0.15,90.97,236.24,233.54,15,65.82,58.83,56.94,0.0016,0.08,49.47
17.75,22.5,201.32,180,240,256.59,173.92,0.02,30.61,235.43,233.27,3,78.89,35.53,67.78,0.0007,0.31,52.19
18.31,22.5,200.09,180,240,155.71,140.12,0.13,58.01,238.94,234.99,6,81.38,33.48,89.99,0.0022,0.28,57.22
19.71,22.5,222.42,180,240,411.43,127.44,0.05,74.27,234.94,231.16,22,87.6,70.7,30.97,0.0007,0.07,55.37
20.49,22.5,186.64,180,240,438.58,125.71,0.09,81.76,231.5,230.35,12,91.07,11.07,28.66,0.0011,0.04,44.37
19.93,22.5,180.73,180,240,339.38,226.68,0.15,63.91,238.27,233.47,8,88.58,1.22,66.79,0.0023,0.25,49.01
17.81,22.5,204.05,180,240,284.8,274.0,0.04,62.76,235.06,232.0,15,79.16,40.08,96.21,0.0006,0.09,58.91
19.42,22.5,215.58,180,240,140.89,135.94,0.16,12.07,236.51,232.65,26,86.31,59.3,96.49,0.0133,0.06,65.67
12.03,22.5,184.64,180,240,141.7,131.86,0.18,21.05,232.36,231.52,4,53.47,7.73,93.06,0.0086,0.09,41.54
12.65,22.5,235.25,180,240,447.96,270.91,0.12,45.91,230.55,228.87,20,56.22,92.08,60.48,0.0026,0.04,53.0
20.11,22.5,216.22,180,240,145.71,107.24,0.17,93.07,234.66,232.25,27,89.38,60.37,73.6,0.0018,0.04,62.54
16.34,22.5,193.48,180,240,280.98,108.31,0.04,54.85,234.19,229.61,17,72.62,22.47,38.55,0.0007,0.12,41.24
20.03,22.5,196.66,180,240,188.04,102.98,0.11,97.8,234.59,231.8,22,89.02,27.77,54.76,0.0011,0.05,52.11
12.21,22.5,239.81,180,240,300.88,211.51,0.02,77.5,232.1,227.61,29,54.27,99.68,70.3,0.0003,0.07,55.7
18.28,22.5,202.66,180,240,434.63,288.33,0.07,74.27,235.28,232.6,17,81.24,37.77,66.34,0.0009,0.07,53.31
15.76,22.5,213.58,180,240,162.1,94.94,0.17,95.15,233.73,232.37,14,70.04,55.97,58.57,0.0018,0.04,50.92
17.17,22.5,228.04,180,240,491.57,425.63,0.17,46.72,235.52,234.24,23,76.31,80.07,86.59,0.0036,0.02,63.85
18.81,22.5,181.18,180,240,141.64,129.31,0.04,68.75,232.38,231.87,24,83.6,1.97,91.29,0.0006,0.01,52.09
19.38,22.5,231.34,180,240,432.09,219.84,0.14,28.45,232.93,228.45,7,86.13,85.57,50.88,0.0049,0.27,61.71
18.37,22.5,224.15,180,240,439.25,124.11,0.18,67.86,237.04,232.49,5,81.64,73.58,28.25,0.0027,0.38,52.98
15.1,22.5,195.57,180,240,251.88,181.46,0.06,66.17,234.09,231.33,2,67.11,25.95,72.04,0.0009,0.59,46.38
20.94,22.5,193.17,180,240,489.82,399.56,0.03,60.92,239.85,237.49,17,93.07,21.95,81.57,0.0005,0.06,57.93
16.7,22.5,210.75,180,240,396.67,301.3,0.09,29.62,236.45,234.34,26,74.22,51.25,75.96,0.003,0.03,55.13
17.16,22.5,190.3,180,240,208.92,82.37,0.18,20.6,235.77,234.39,17,76.27,17.17,39.43,0.0087,0.03,41.82
15.81,22.5,209.85,180,240,388.08,112.83,0.04,33.73,232.66,229.0,2,70.27,49.75,29.07,0.0012,0.79,43.79
18.01,22.5,219.9,180,240,170.15,162.43,0.09,44.48,235.19,234.95,28,80.04,66.5,95.46,0.002,0.0,64.41
22.03,22.5,191.06,180,240,136.13,123.28,0.02,85.34,234.37,229.79,27,97.91,18.43,90.56,0.0002,0.07,60.95
14.59,22.5,213.98,180,240,290.42,219.65,0.19,75.93,232.15,231.98,20,64.84,56.63,75.63,0.0025,0.0,52.39
13.07,22.5,230.49,180,240,438.56,422.51,0.04,66.1,234.74,233.01,8,58.09,84.15,96.34,0.0006,0.09,59.32
19.44,22.5,209.73,180,240,375.36,208.43,0.06,83.72,237.99,234.51,6,86.4,49.55,55.53,0.0007,0.24,55.55
17.89,22.5,201.66,180,240,136.63,131.95,0.04,95.52,234.46,233.53,16,79.51,36.1,96.57,0.0004,0.02,58.34
21.07,22.5,223.93,180,240,422.62,305.71,0.14,86.43,232.5,230.05,15,93.64,73.22,72.34,0.0016,0.07,66.56
19.05,22.5,183.1,180,240,367.97,92.72,0.12,99.94,235.56,233.19,7,84.67,5.17,25.2,0.0012,0.14,39.93
11.63,22.5,221.85,180,240,218.94,208.44,0.19,94.98,234.74,230.43,7,51.69,69.75,95.2,0.002,0.26,53.64
16.37,22.5,211.35,180,240,357.82,260.63,0.08,60.46,234.81,230.38,11,72.76,52.25,72.84,0.0013,0.17,54.1
15.07,22.5,223.49,180,240,126.14,94.55,0.11,81.17,233.19,230.06,16,66.98,72.48,74.96,0.0014,0.08,56.27
16.05,22.5,232.6,180,240,267.0,166.38,0.2,10.02,231.85,229.92,3,71.33,87.67,62.31,0.02,0.28,58.5
12.04,22.5,180.57,180,240,121.07,83.64,0.02,53.18,235.81,234.44,25,53.51,0.95,69.08,0.0004,0.02,35.41
19.89,22.5,205.07,180,240,268.54,219.06,0.06,19.94,233.55,232.11,4,88.4,41.78,81.57,0.003,0.15,60.01
19.3,22.5,215.35,180,240,210.91,199.17,0.02,19.85,233.92,233.29,27,85.78,58.92,94.43,0.001,0.01,64.98
21.94,22.5,227.18,180,240,135.76,103.28,0.18,95.03,234.67,231.6,25,97.51,78.63,76.08,0.0019,0.05,69.94
19.61,22.5,183.9,180,240,260.63,231.34,0.05,84.76,231.2,230.96,25,87.16,6.5,88.76,0.0006,0.0,53.92
13.73,22.5,191.19,180,240,411.83,196.18,0.02,97.22,238.84,234.2,26,61.02,18.65,47.64,0.0002,0.07,37.66
17.16,22.5,195.61,180,240,306.1,191.06,0.2,90.77,234.63,231.51,29,76.27,26.02,62.42,0.0022,0.05,48.19
17.29,22.5,215.58,180,240,332.03,103.06,0.18,33.9,231.3,226.86,25,76.84,59.3,31.04,0.0053,0.08,48.8
20.84,22.5,182.13,180,240,231.62,221.25,0.15,35.33,232.53,232.49,27,92.62,3.55,95.52,0.0042,0.0,56.86
19.39,22.5,209.75,180,240,132.42,91.54,0.14,16.85,238.51,236.03,29,86.18,49.58,69.13,0.0083,0.04,58.21
21.45,22.5,214.28,180,240,364.84,234.89,0.17,76.05,235.21,230.87,28,95.33,57.13,64.38,0.0022,0.07,62.43
20.82,22.5,232.04,180,240,383.35,333.91,0.14,71.21,236.19,232.42,7,92.53,86.73,87.1,0.002,0.23,71.75
21.17,22.5,237.68,180,240,286.19,261.26,0.01,83.8,232.29,227.75,18,94.09,96.13,91.29,0.0001,0.11,75.11
20.45,22.5,229.93,180,240,302.99,81.42,0.06,65.52,239.81,236.65,2,90.89,83.22,26.87,0.0009,0.66,58.31
18.38,22.5,212.4,180,240,411.94,115.51,0.15,58.71,239.63,237.91,28,81.69,54.0,28.04,0.0026,0.03,49.08
13.27,22.5,225.22,180,240,415.52,138.3,0.16,95.26,231.66,227.8,17,58.98,75.37,33.28,0.0017,0.1,45.31
17.8,22.5,200.75,180,240,348.37,92.28,0.18,97.61,239.69,235.94,3,79.11,34.58,26.49,0.0018,0.52,43.81
17.94,22.5,203.02,180,240,126.25,117.99,0.08,83.69,232.53,232.51,2,79.73,38.37,93.46,0.001,0.0,58.26
14.33,22.5,239.83,180,240,270.47,165.98,0.04,81.53,236.94,235.83,2,63.69,99.72,61.37,0.0005,0.23,57.67
19.94,22.5,193.8,180,240,152.53,142.96,0.19,12.82,237.31,232.76,5,88.62,23.0,93.73,0.0148,0.38,58.75
18.43,22.5,203.86,180,240,209.69,207.61,0.09,90.47,232.3,231.23,17,81.91,39.77,99.01,0.001,0.03,60.52
18.58,22.5,202.11,180,240,445.74,253.07,0.19,26.7,238.69,234.8,15,82.58,36.85,56.78,0.0071,0.11,51.75
16.35,22.5,211.82,180,240,107.14,101.63,0.07,92.07,239.68,238.74,15,72.67,53.03,94.86,0.0008,0.03,58.64
16.67,22.5,187.04,180,240,150.07,128.04,0.09,28.05,234.92,234.59,22,74.09,11.73,85.32,0.0032,0.01,49.04
14.92,22.5,215.42,180,240,273.3,270.28,0.04,51.81,236.8,234.82,15,66.31,59.03,98.89,0.0008,0.06,58.1
18.0,22.5,197.5,180,240,377.99,336.31,0.16,13.57,234.81,234.28,17,80.0,29.17,88.97,0.0118,0.01,55.63
12.41,22.5,214.25,180,240,107.35,93.19,0.05,41.14,237.76,233.05,1,55.16,57.08,86.81,0.0012,1.98,50.64
17.07,22.5,185.27,180,240,240.25,85.32,0.02,45.72,231.33,228.49,14,75.87,8.78,35.51,0.0004,0.09,39.2
19.05,22.5,229.29,180,240,116.47,104.45,0.19,21.18,238.96,235.98,9,84.67,82.15,89.68,0.009,0.14,68.22
11.83,22.5,212.48,180,240,383.62,344.44,0.15,82.16,233.39,229.31,7,52.58,54.13,89.79,0.0018,0.25,49.79
18.68,22.5,213.18,180,240,338.99,283.0,0.1,13.67,231.64,229.44,18,83.02,55.3,83.48,0.0073,0.05,60.96
11.93,22.5,194.83,180,240,163.82,153.07,0.05,97.83,233.37,232.45,23,53.02,24.72,93.44,0.0005,0.02,44.84
16.13,22.5,182.62,180,240,164.67,81.77,0.13,39.91,235.42,232.95,28,71.69,4.37,49.66,0.0033,0.04,39.48
13.49,22.5,220.81,180,240,128.88,81.5,0.06,51.64,238.68,235.04,29,59.96,68.02,63.24,0.0012,0.05,50.23
20.77,22.5,217.73,180,240,394.14,321.17,0.11,58.9,235.14,232.2,26,92.31,62.88,81.49,0.0019,0.05,65.79
19.41,22.5,209.2,180,240,449.37,412.69,0.09,34.91,235.92,231.36,12,86.27,48.67,91.84,0.0026,0.16,62.59
15.57,22.5,207.95,180,240,434.4,163.56,0.16,46.48,236.02,232.85,14,69.2,46.58,37.65,0.0034,0.1,44.52
22.18,22.5,190.86,180,240,441.75,258.08,0.06,88.37,234.45,231.87,25,98.58,18.1,58.42,0.0007,0.04,54.73
18.7,22.5,185.72,180,240,360.85,167.67,0.09,87.22,230.09,227.14,12,83.11,9.53,46.47,0.001,0.11,44.43
12.72,22.5,238.19,180,240,281.52,127.57,0.02,25.28,235.2,233.51,9,56.53,96.98,45.31,0.0008,0.08,51.06
16.1,22.5,194.92,180,240,346.86,268.61,0.04,25.09,230.37,226.69,5,71.56,24.87,77.44,0.0016,0.32,49.05
17.25,22.5,226.91,180,240,382.15,214.87,0.17,60.23,235.4,235.22,14,76.67,78.18,56.23,0.0028,0.01,57.55
11.89,22.5,211.87,180,240,474.64,95.53,0.03,50.7,239.34,237.75,17,52.84,53.12,20.13,0.0006,0.04,35.78
17.83,22.5,221.29,180,240,258.95,165.88,0.14,11.56,233.23,228.36,7,79.24,68.82,64.06,0.0121,0.3,58.24
16.37,22.5,210.94,180,240,295.54,223.74,0.04,12.7,233.08,229.55,10,72.76,51.57,75.71,0.0031,0.15,54.54
19.5,22.5,189.74,180,240,175.34,149.68,0.04,31.11,239.63,238.35,1,86.67,16.23,85.37,0.0013,0.53,54.93
20.68,22.5,236.68,180,240,373.3,225.82,0.13,88.2,235.71,235.55,8,91.91,94.47,60.49,0.0015,0.01,67.75
20.2,22.5,235.12,180,240,340.24,324.85,0.17,70.03,235.77,234.02,2,89.78,91.87,95.48,0.0024,0.37,73.34
22.49,22.5,182.89,180,240,490.87,247.19,0.18,80.41,235.67,231.98,4,99.96,4.82,50.36,0.0022,0.39,50.98
18.57,22.5,225.91,180,240,470.27,251.01,0.18,89.01,233.17,228.82,1,82.53,76.52,53.38,0.002,1.87,58.8
12.6,22.5,212.67,180,240,102.3,87.24,0.08,45.66,236.95,235.0,25,56.0,54.45,85.28,0.0018,0.03,50.34
17.96,22.5,212.74,180,240,277.77,82.9,0.12,25.16,236.43,232.63,9,79.82,54.57,29.84,0.0048,0.18,48.79
15.52,22.5,231.8,180,240,307.63,189.08,0.01,40.71,233.8,231.8,5,68.98,86.33,61.46,0.0002,0.17,57.13
14.02,22.5,208.6,180,240,257.75,177.66,0.15,74.39,235.21,231.1,11,62.31,47.67,68.93,0.002,0.16,48.23
11.34,22.5,218.85,180,240,459.21,172.33,0.19,15.42,239.34,237.58,2,50.4,64.75,37.53,0.0123,0.37,40.58
13.12,22.5,217.04,180,240,309.23,233.61,0.19,57.9,235.81,235.35,18,58.31,61.73,75.55,0.0033,0.01,50.78
15.75,22.5,238.6,180,240,429.27,262.49,0.03,87.35,238.0,237.07,24,70.0,97.67,61.15,0.0003,0.02,59.76
20.18,22.5,191.11,180,240,467.1,244.33,0.03,83.42,233.74,231.1,15,89.69,18.52,52.31,0.0004,0.08,50.03
21.95,22.5,216.1,180,240,427.68,387.42,0.05,29.08,236.11,234.05,29,97.56,60.17,90.59,0.0017,0.03,69.17
21.44,22.5,226.2,180,240,322.65,142.03,0.07,75.88,238.51,235.15,25,95.29,77.0,44.02,0.0009,0.06,62.31
12.32,22.5,217.43,180,240,280.71,197.74,0.04,76.32,238.63,237.54,17,54.76,62.38,70.44,0.0005,0.03,48.46
13.26,22.5,198.74,180,240,192.1,103.11,0.13,33.12,236.32,236.02,25,58.93,31.23,53.68,0.0039,0.01,40.55
22.36,22.5,188.19,180,240,378.06,200.51,0.09,74.58,236.92,231.96,28,99.38,13.65,53.04,0.0012,0.07,53.08
20.46,22.5,216.19,180,240,234.89,220.26,0.16,33.84,236.45,233.47,9,90.93,60.32,93.77,0.0047,0.14,67.18
14.89,22.5,193.6,180,240,242.0,91.25,0.11,16.09,238.0,236.82,21,66.18,22.67,37.71,0.0068,0.02,38.55
14.3,22.5,215.57,180,240,372.05,147.41,0.1,27.13,230.52,228.62,6,63.56,59.28,39.62,0.0037,0.14,45.19
17.53,22.5,223.84,180,240,286.08,92.39,0.12,96.19,231.75,228.3,25,77.91,73.07,32.3,0.0012,0.06,52.23
13.17,22.5,204.57,180,240,269.08,235.39,0.01,37.08,239.81,237.43,13,58.53,40.95,87.48,0.0003,0.08,49.09
12.6,22.5,238.45,180,240,108.01,100.65,0.16,31.93,236.72,236.25,22,56.0,97.42,93.19,0.005,0.01,60.52
12.25,22.5,225.32,180,240,151.09,138.73,0.16,73.79,230.36,228.84,18,54.44,75.53,91.82,0.0022,0.04,55.24
15.09,22.5,202.85,180,240,238.53,117.9,0.11,84.28,232.8,228.09,18,67.07,38.08,49.43,0.0013,0.11,44.32
17.05,22.5,235.16,180,240,298.79,297.07,0.17,28.77,239.31,238.72,18,75.78,91.93,99.42,0.0059,0.01,68.58
18.31,22.5,220.46,180,240,312.99,248.08,0.04,29.08,238.19,236.57,3,81.38,67.43,79.26,0.0014,0.23,61.87
13.2,22.5,221.7,180,240,238.44,234.58,0.13,84.02,231.33,227.02,4,58.67,69.5,98.38,0.0015,0.47,57.0
18.07,22.5,188.35,180,240,459.3,394.57,0.07,95.75,238.25,234.92,2,80.31,13.92,85.91,0.0007,0.7,52.02
12.02,22.5,181.55,180,240,154.07,151.34,0.11,96.92,234.32,232.75,14,53.42,2.58,98.23,0.0011,0.05,41.52
21.11,22.5,196.67,180,240,440.58,80.12,0.01,64.23,233.65,231.71,5,93.82,27.78,18.19,0.0002,0.17,46.7
20.03,22.5,207.59,180,240,123.27,123.05,0.02,72.55,239.84,238.64,3,89.02,45.98,99.82,0.0003,0.17,64.75
12.09,22.5,226.96,180,240,206.15,102.43,0.14,65.62,236.33,235.18,5,53.73,78.27,49.69,0.0021,0.1,47.07
18.17,22.5,198.38,180,240,349.56,222.07,0.09,21.76,238.87,236.62,29,80.76,30.63,63.53,0.0041,0.03,51.13
15.24,22.5,211.53,180,240,292.65,117.62,0.08,96.74,232.49,231.81,21,67.73,52.55,40.19,0.0008,0.01,45.64
11.47,22.5,195.59,180,240,404.12,124.44,0.11,29.37,230.12,228.91,21,50.98,25.98,30.79,0.0037,0.03,31.74
